,YEAR_op,RESOURCES,importCosts_Pvar
0,2025,gaz,-0.0
1,2025,gazBio,-0.0
2,2025,hydrogen,-0.0
3,2025,electricity,-0.0
4,2025,uranium,1688137762.744983
5,2025,gazNat,161963031.01770392
6,2020,gaz,-0.0
7,2020,gazBio,-0.0
8,2020,hydrogen,-0.0
9,2020,electricity,-0.0
10,2020,uranium,2066810764.202788
11,2020,gazNat,51341442.34685196
12,2030,gaz,-0.0
13,2030,gazBio,-0.0
14,2030,hydrogen,-0.0
15,2030,electricity,-0.0
16,2030,uranium,1274915739.3727498
17,2030,gazNat,472812906.9622797
18,2015,gaz,-0.0
19,2015,gazBio,-0.0
20,2015,hydrogen,-0.0
21,2015,electricity,-0.0
22,2015,uranium,2854289345.1505594
23,2015,gazNat,201906630.40027717
