,YEAR_op,TIMESTAMP,STOCK_TECHNO,stockLevel_Pvar
0,2040,1,tankH2_G,17674.492303507915
1,2040,1,saltCavernH2_G,-0.0
2,2040,1,Battery,0.0
3,2040,2,tankH2_G,18227.916047429328
4,2040,2,saltCavernH2_G,-0.0
5,2040,2,Battery,0.0
6,2040,3,tankH2_G,18781.33979135074
7,2040,3,saltCavernH2_G,-0.0
8,2040,3,Battery,0.0
9,2040,4,tankH2_G,19334.76353527215
10,2040,4,saltCavernH2_G,-0.0
11,2040,4,Battery,0.0
12,2040,5,tankH2_G,19888.18727919356
13,2040,5,saltCavernH2_G,-0.0
14,2040,5,Battery,0.0
15,2040,6,tankH2_G,20441.611023114972
16,2040,6,saltCavernH2_G,-0.0
17,2040,6,Battery,0.0
18,2040,7,tankH2_G,20995.034767036384
19,2040,7,saltCavernH2_G,-0.0
20,2040,7,Battery,0.0
21,2040,8,tankH2_G,21548.458510957797
22,2040,8,saltCavernH2_G,-0.0
23,2040,8,Battery,0.0
24,2040,9,tankH2_G,22101.882254879205
25,2040,9,saltCavernH2_G,-0.0
26,2040,9,Battery,0.0
27,2040,10,tankH2_G,22101.882254879205
28,2040,10,saltCavernH2_G,-0.0
29,2040,10,Battery,0.0
30,2040,11,tankH2_G,22284.703961616517
31,2040,11,saltCavernH2_G,-0.0
32,2040,11,Battery,0.0
33,2040,12,tankH2_G,22838.12770553793
34,2040,12,saltCavernH2_G,-0.0
35,2040,12,Battery,0.0
36,2040,13,tankH2_G,23391.55144945934
37,2040,13,saltCavernH2_G,-0.0
38,2040,13,Battery,0.0
39,2040,14,tankH2_G,23946.540328056322
40,2040,14,saltCavernH2_G,-0.0
41,2040,14,Battery,0.0
42,2040,15,tankH2_G,24506.224610680023
43,2040,15,saltCavernH2_G,-0.0
44,2040,15,Battery,0.0
45,2040,16,tankH2_G,25070.604297330443
46,2040,16,saltCavernH2_G,-0.0
47,2040,16,Battery,0.0
48,2040,17,tankH2_G,24654.522816758676
49,2040,17,saltCavernH2_G,-0.0
50,2040,17,Battery,0.0
51,2040,18,tankH2_G,24131.658863892586
52,2040,18,saltCavernH2_G,-0.0
53,2040,18,Battery,0.0
54,2040,19,tankH2_G,23796.54780177359
55,2040,19,saltCavernH2_G,-0.0
56,2040,19,Battery,0.0
57,2040,20,tankH2_G,23640.274539696915
58,2040,20,saltCavernH2_G,-0.0
59,2040,20,Battery,0.0
60,2040,21,tankH2_G,23268.920142361967
61,2040,21,saltCavernH2_G,-0.0
62,2040,21,Battery,0.0
63,2040,22,tankH2_G,23029.75151067665
64,2040,22,saltCavernH2_G,-0.0
65,2040,22,Battery,0.0
66,2040,23,tankH2_G,22865.661842162433
67,2040,23,saltCavernH2_G,-0.0
68,2040,23,Battery,0.0
69,2040,24,tankH2_G,22608.33416294127
70,2040,24,saltCavernH2_G,-0.0
71,2040,24,Battery,0.0
72,2040,25,tankH2_G,22608.33416294127
73,2040,25,saltCavernH2_G,-0.0
74,2040,25,Battery,0.0
75,2040,26,tankH2_G,22549.7363098746
76,2040,26,saltCavernH2_G,-0.0
77,2040,26,Battery,0.0
78,2040,27,tankH2_G,22611.90496070384
79,2040,27,saltCavernH2_G,-0.0
80,2040,27,Battery,0.0
